laptop_name,item_number,brand,platform,processor,processor_type,processor_cores,processor_speed,ram,storage,storage_type,screen_size,resolution,graphics_chipset,graphics,os,retail_price
"Asus ZenBook UX430 14"" Laptop",10573748,Asus,Windows,Intel Core i5-7200U,Intel,2,2.5,16,512,SSD,14,1920 x 1080,NVIDIA GT940MX,NVIDIA,Windows 10 (64-Bit),1299.99
"Lenovo IdeaPad 110 15.6"" Laptop",10574226,Lenovo,Windows,Intel Pentium N3710,Intel,4,1.6,4,1024,HDD,15.6,1366 x 768,Intel HD Graphics 405,Intel,Windows 10 Home 64-Bit,499.99
"Dell XPS 13.3"" Laptop ",10567343,Dell,Windows,Intel Core i5-7200U,Intel,2,2.5,8,128,SSD,13.3,1920 x 1080,Intel HD Graphics 620,Intel,Windows 10 Home 64-bit,1449.99
MSI Notebook GL72 6QC-025CA ,10448505,MSI,Windows,Intel Core i5-6300HQ,Intel,4,2.3,8,1024,HDD,17.3,1920 x 1080,GeForce 940MX,NVIDIA,Windows 10 Home,1169.99
"Dell Inspiron 15.6"" Laptop ",10575048,Dell,Windows,Intel Core i3-5005U,Intel,2,2,6,1024,HDD,15.6,1366 x 768,Intel HD Graphics 5500,Intel,Windows 10 64-bit,479.99
"HP 15.6"" Touchscreen Laptop ",10520077,HP,Windows,AMD A8-7410,AMD,4,2.2,8,1024,HDD,15.6,1366 x 768,AMD Radeon R5 Graphics,AMD,Windows 10 Home,499.99
"Acer Spin 3 15.6"" Touchscreen Laptop",10497395,Acer,Windows,Intel Core i5-6200U,Intel,2,2.3,8,1024,HDD,15.6,1920 x 1080,Intel HD 520,Intel,Windows 10,799.99
MSI Notebook GP62 6QF-480CA Leopard Pro,10448525,MSI,Windows,Intel Core i7-6700HQ,Intel,4,2.6,16,1024,HDD,15.6,1920 x 1080,Nvidia GeForce GTX 960M,NVIDIA,Windows 10 Home,1499.99
"Lenovo Ideapad 15.6"" Laptop",10575047,Lenovo,Windows,Intel Core i3-6100U,Intel,2,2.3,4,1024,HDD,15.6,1366 x 768,Intel HD Graphics 520,Intel,Windows 10,498.98
"ASUS FX53 15.6"" Gaming Laptop ",10573737,Asus,Windows,Intel Core i5-7300HQ,Intel,4,2.5,12,1024,HDD,15.6,1920 x 1080,NVIDIA GTX1050,NVIDIA,Windows 10 64-Bit,1149.99
"ASUS ROG GL553 15.6"" Gaming Laptop",10562719,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1024,HDD,15.6,1920 x 1080,NVIDIA GTX1050,NVIDIA,Windows 10 Home (64-Bit),1338.98
"ASUS ROG GL753 17.3"" Gaming Laptop",10562715,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1024,HDD,17.3,1920 x 1080,NVIDIA GTX1050,NVIDIA,Windows 10 Home (64-Bit),1399.99
"HP 10.1"" Touchscreen Convertible Laptop",10551205,HP,Windows,Intel Atom x5-Z8350,Intel,2,1.44,2,32,SSD,10.1,1280 x 800,Intel HD Graphics 400,Intel,Windows 10 Home,399.98
Lenovo ThinkPad T460 20FN002SUS,10426116,Lenovo,Windows,Intel Core i5 (6th Gen) i5-6200U ,Intel,2,2.3,4,500,HDD,14,1366 x 768,HD Graphics 520,Intel,Windows 7 Professional Upgradable to Windows 10 Pro,1499.99
"ASUS X-Series 17.3"" Laptop",10449277,Asus,Windows,Intel Core i7-5500U,Intel,2,2.4,12,1024,HDD,17.3,1920 x 1080, NVIDIA GeForce GTX 950M ,NVIDIA,Windows 10 (64 Bit),1599.99
"Lenovo V110 15.6"" Laptop",10574462,Lenovo,Windows,Intel Celeron 3855U,Intel,2,1.6,4,500,HDD,15.6,1366 x 768,Intel HD Graphics 510,Intel,Windows 10 Professional (64-bit),398.98
"HP 250 G5 15.6"" Notebook",10460927,HP,Windows,Intel Core i3 (5th Gen) i3-5005U,Intel,2,2,4,500,HDD,15.6,1366 x 768,ntel HD Graphics 5500,Intel,Windows 10 Pro 64-bit,699.99
"ASUS ZenBook UX330 13.3"" Laptop",10583298,Asus,Windows,Intel Core i7-7500U,Intel,2,2.7,16,512,SSD,13.3,1920 x 1080,Intel HD,Intel,Windows 10 Home,1349.99
Edugear XR2N1C Semi-rugged,10584304,eduGear,Windows,Intel Cherry Trail 8300,Intel,4,1.8,4,64,eMMC,10.1,1200 x 800,AMD FIREPRO 6100 2 GB GDDR5,AMD,Windows 10 Home Premium,199
"Acer Spin 3 15.6"" Touchscreen Laptop",10497394,Acer,Windows,Intel Core i3-6100U,Intel,2,2.3,6,1024,HDD,15.6,1920 x 1080,Intel HD Graphics 520,Intel,Windows 10,699.99
"ASUS ROG GL753 17.3"" Gaming Laptop",10562716,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1024,HDD,17.3,1920 x 1080,NVIDIA GTX1050Ti,NVIDIA,Windows 10 Home (64-Bit),1599.98
Lenovo YOGA 2 20428,10572691,Lenovo,Windows,Intel i3-4012Y,Intel,2,1.5,4,508,SSHD,11.6,1366 x 768,Intel HD 4200,Intel,Windows 10 Home,599.99
"ASUS VivoBook X541 15.6"" Laptop",10573740,Asus,Windows,Intel Core i5-7200U,Intel,2,2.5,8,1024,HDD,15.6,1366 x 786,Intel HD,Intel,Windows 10 (64-Bit),749.99
"Alienware 15.6"" Gaming Laptop-Epic Silver ",10395744,Dell,Windows,Intel Core i7-6700HQ,Intel,4,2.6,16,1280,SSHD,15.6,1920 x 1080,NVIDIA GeForce GTX 970M,NVIDIA,Windows 10 Home High-End English,2399.99
Lenovo ThinkPad X1 Carbon 20FB005TUS ,10537710,Lenovo,Windows,Core i5,Intel,2,2.3,8,128,SSD,14,1920 x 1080,HD Graphics 520,Intel,Windows 10 Pro (English),1878.95
"HP Stream 14"" Laptop",10481596,HP,Windows,Intel Celeron N3060,Intel,2,1.6,4,32,SSD,14,1366 x 768,Intel HD Graphics 400,Intel,Windows 10 Home,379.99
"Acer Aspire S 13.3"" Touchscreen Laptop",10550146,Acer,Windows,Intel Core i5-7200U,Intel,2,2.5,8,256,SSD,13.3,1920 x 1080,Intel HD Graphics,Intel,Windows 10 Home,1039.99
"Lenovo YOGA 710 15.6"" Touchscreen Laptop",10550154,Lenovo,Windows,Intel Core i5-7200U,Intel,2,2.5,8,256,SSD,15.6,1920 x 1080,Nvidia GeForce 940MX,NVIDIA,Windows 10 Home,1299.99
"Lenovo Yoga 910 13.9"" Touch Convertible Laptop",10574563,Lenovo,Windows,Intel Core i7-7500U,Intel,2,2.7,16,1024,HDD,13.9,3840 x 2160,Intel HD Graphics 620,Intel,Windows 10 Home 64-Bit,2449.99
"Acer Aspire R11 11.6"" Touchscreen Laptop",10450960,Acer,Windows,Intel Celeron Processor N3050,Intel,2,1.6,4,500,HDD,11.6,1366 x 768,UMA,Intel,Windows 10 Home 64-bit,449.98
"ASUS ROG GL752VW-Q72SX-CB W10 17.3"" Gaming Notebook",10451215,Asus,Windows,Core i7,Intel,4,2.6,16,1152,SSHD,17.3,1920 x 1080,GeForce GTX 960M,NVIDIA,Windows 10 Home,1675.95
"HP Envy x360 15.6"" Touchscreen Convertible Laptop ",10553633,HP,Windows,AMD A12-9700P APU,AMD,4,2.5,8,1152,SSHD,15.6,1920 x 1080,AMD Radeon R7,AMD,Windows 10 Home,899.99
"ASUS Transformer 3 Pro Touchscreen 12.6"" Laptop",10542956,Asus,Windows,Intel Core i5-6200U,Intel,2,2.3,8,512,SSD,12.6,2880 x 1620,Integrated Intel HD Graphics,Intel,Windows 10 Home 64 bit,1469.98
"ASUS VivoBook E402 14"" Laptop",10573736,Asus,Windows,Intel Quad-Core Pentium N4200,Intel,4,1.1,8,1024,HDD,14,1366 x 768,Intel HD,Intel,Windows 10 64-Bit,599.99
